0	0	8	130	79	101
5	0	17	25	157	187
6	0	21	14	191	234
7	0	23	11	286	325
8	0	26	5	328	368
9	3	1	338	107	153
12	3	1	338	57	70
18	6	2	242	43	139
25	13	1	272	271	316
26	13	2	228	250	273
27	13	8	140	153	171
32	17	13	35	160	194
35	21	13	24	210	238
38	23	13	21	290	322
40	26	13	15	333	375
44	0	1	262	0	442
72	8	6	154	58	193
101	2	3	294	9	270
