0	0	2	103	59	73
1	0	15	52	413	505
6	2	5	173	99	109
7	3	1	485	38	88
9	5	9	207	254	283
10	15	17	119	419	472
11	22	19	229	525	543
14	9	11	277	245	265
15	13	10	314	248	262
16	17	19	174	458	478
18	24	25	119	590	604
19	25	15	165	599	609
21	27	1	586	602	661
22	16	1	536	410	496
25	6	3	415	96	106
27	16	26	419	597	607
28	10	6	379	245	292
29	18	16	469	419	484
31	20	23	357	531	580
32	20	18	412	446	505
35	26	27	469	602	720
36	5	6	293	82	371
37	9	10	293	220	341
38	17	18	293	382	425
39	19	20	293	442	602
40	25	26	293	613	683
41	0	1	293	0	749
46	15	5	122	317	406
50	15	22	174	518	604
66	12	13	298	245	271
83	23	16	414	524	604
91	6	16	466	320	418
